update,environment_steps,mean_episode_return,all_hit_rate,all_sync_rate,hit_fraction,target_coverage_rate,complete_group_rate,coordinated_group_rate,mean_sync_spread_s,trust_mean,trust_std,guided_action_fraction,actor_update_fraction,completed_episodes,policy_loss,value_loss,entropy,approx_kl,importance_ratio,actor_grad_norm,critic_grad_norm,adaptive_kl_coef,actor_lr,wall_time_s
31,31744,441687.17340471596,0.0,0.0,0.9,1.0,0.75,0.625,0.27499999999999325,0.5340592794885872,0.1803880287607011,0.47221329906842274,0.5277867009315772,1,0.0011166733456775546,0.15687068849802016,2.4911813259124758,-0.004191945563354338,1.097169327735901,1.1926898211240768,0.6616447247564793,0.0984770902183612,0.00020224450003308525,624.5425653457642
32,32768,44517.87241771817,0.0,0.0,0.95,1.0,0.875,0.875,0.12142857142857315,0.5332332288928278,0.18285280606317134,0.6274594594594595,0.37254054054054053,1,-0.005399772245436907,0.03900217546033673,2.4822104215621947,0.015585847392500352,0.9302725672721863,1.4225230820477008,0.5015184976160526,0.0523347633027361,0.0001966980406590547,642.7996275424957
33,33792,331344.5801787946,0.0,0.0,0.75,0.875,0.75,0.75,0.1416666666666687,0.5332332288928278,0.18285280606317134,0.5131934163546111,0.4868065836453888,0,-0.001764781284146011,0.10930828470736742,2.4825645089149475,0.03892408362341371,0.8844804018735886,2.1654165789484976,0.5431701932102442,0.7920140465017687,0.00019108034725482865,661.630352973938
34,34816,396930.8519142419,0.0,0.0,0.9,1.0,0.875,0.75,0.46428571428569654,0.5274628686976753,0.18317591333418887,0.47643352739452904,0.523566472605471,1,-0.0029891506768763066,0.1547300685197115,2.4747530698776243,0.002421803354336305,0.9888953447341919,1.5085947081446647,0.5452313162386417,0.16306866866911315,0.0001854000818964579,680.3428418636322
35,35840,21765.674285556423,0.0,0.0,0.8,1.0,0.75,0.75,0.1416666666666687,0.5224027004849622,0.18444517674852945,0.5747899159663865,0.42521008403361343,1,-0.00699742934666574,0.018549050996080042,2.4649198412895204,0.016688722926105726,0.9976264417171479,0.9867087215185165,0.25109054818749427,0.1421463225518253,0.00017966600314141124,698.4648821353912
36,36864,375548.76939219236,0.0,0.0,0.85,1.0,0.625,0.625,0.14000000000000198,0.5224027004849622,0.18444517674852945,0.5068681318681318,0.49313186813186816,0,-0.008036499901209027,0.15468872003257275,2.4549426794052125,0.010901900947461528,0.9646834909915925,1.4409541308879852,0.43503463715314866,0.06691053331798459,0.00017388695252351457,716.8235929012299
37,37888,375636.81216472015,0.0,0.0,0.9,1.0,0.75,0.625,4.158333333333105,0.5189284345929994,0.1844985320770338,0.4799901792290695,0.5200098207709305,1,0.00798206003382802,0.12153620421886444,2.448837161064148,0.02397472343755891,0.9580747276544571,2.508374494314194,0.5509119905531407,0.5314410000000002,0.0001680718409199468,735.554249048233
38,38912,44869.65480392426,0.0,0.0,0.9,1.0,0.75,0.75,0.12500000000000178,0.5175929448227737,0.18568808926794692,0.5371263259402121,0.46287367405978785,1,-0.0022968950681388376,0.026979657812626102,2.439201533794403,-0.011270199454490282,1.0363787710666656,0.9145428605377675,0.20835331808775664,0.06461081889226679,0.00016222963481131287,753.7913830280304
39,39936,419268.96912945807,0.0,0.0,0.95,1.0,0.875,0.875,0.1285714285714304,0.5175929448227737,0.18568808926794692,0.5790891597177678,0.4209108402822322,0,0.007075641979463398,0.11658788658678532,2.4331871628761292,0.02765333315358587,0.9169308692216873,2.4959035903215407,0.38170829564332964,0.47520842790106105,0.0001563693424559808,771.9512655735016
40,40960,353632.13989857584,0.0,0.0,0.95,1.0,0.875,0.875,0.1285714285714304,0.5187259840916221,0.18727223967149303,0.5199142409499464,0.4800857590500536,1,-0.005752814184779709,0.09827698320150376,2.427076685428619,0.0033726470184191728,0.9933110266923905,1.9202047422528268,0.8800595536828041,0.08805708108132111,0.00015050000000000003,790.5943672657013
