episode,case,target_num,hit_count,target_hit_count,target_sync_count,all_hit,all_sync,max_sync_spread,mean_sync_spread,eval_seed,chunk,source_summary
5,case2,8,20,8,7,True,False,28.199996948242188,3.5937492847442627,77005,0,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case2/chunk_00/case2/case2_episode_summary.csv
6,case2,8,18,8,6,True,False,28.400001525878906,4.114285469055176,77006,0,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case2/chunk_00/case2/case2_episode_summary.csv
7,case2,8,19,8,6,True,False,28.150001525878906,3.5749998092651367,77007,0,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case2/chunk_00/case2/case2_episode_summary.csv
8,case2,8,19,8,7,True,False,0.34999847412109375,0.11249923706054688,77008,0,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case2/chunk_00/case2/case2_episode_summary.csv
9,case2,8,19,8,7,True,False,27.699996948242188,3.518749475479126,77009,0,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case2/chunk_00/case2/case2_episode_summary.csv
10,case2,8,18,8,7,True,False,0.1999969482421875,0.08571352064609528,77010,0,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case2/chunk_00/case2/case2_episode_summary.csv
11,case2,8,20,8,7,True,False,27.699996948242188,3.5124993324279785,77011,0,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case2/chunk_00/case2/case2_episode_summary.csv
12,case2,8,19,8,6,True,False,26.75,3.3999996185302734,77012,0,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case2/chunk_00/case2/case2_episode_summary.csv
13,case2,8,19,8,7,True,False,27.650001525878906,3.5249996185302734,77013,0,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case2/chunk_00/case2/case2_episode_summary.csv
14,case2,8,16,8,5,True,False,0.14999961853027344,0.07499948889017105,77014,0,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case2/chunk_00/case2/case2_episode_summary.csv
15,case2,8,20,8,7,True,False,28.29999542236328,3.5937490463256836,77015,0,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case2/chunk_00/case2/case2_episode_summary.csv
16,case2,8,19,8,6,True,False,28.14999771118164,3.581249237060547,77016,0,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case2/chunk_00/case2/case2_episode_summary.csv
17,case2,8,18,8,7,True,False,0.1999988555908203,0.07857077568769455,77017,0,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case2/chunk_00/case2/case2_episode_summary.csv
18,case2,8,17,8,5,True,False,0.1999988555908203,0.07142802327871323,77018,0,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case2/chunk_00/case2/case2_episode_summary.csv
19,case2,8,17,7,7,False,False,0.1999988555908203,0.08571406453847885,77019,0,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case2/chunk_00/case2/case2_episode_summary.csv
20,case2,8,19,8,7,True,False,0.14999961853027344,0.05624961853027344,77020,0,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case2/chunk_00/case2/case2_episode_summary.csv
1,case2,8,20,8,7,True,False,28.349998474121094,3.612499237060547,77021,1,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case2/chunk_01/case2/case2_episode_summary.csv
2,case2,8,19,8,6,True,False,27.650001525878906,3.5062499046325684,77022,1,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case2/chunk_01/case2/case2_episode_summary.csv
3,case2,8,19,8,7,True,False,0.20000457763671875,0.08750009536743164,77023,1,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case2/chunk_01/case2/case2_episode_summary.csv
4,case2,8,19,8,7,True,False,0.1999988555908203,0.09285681694746017,77024,1,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case2/chunk_01/case2/case2_episode_summary.csv
5,case2,8,19,8,7,True,False,28.549999237060547,3.6187496185302734,77025,1,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case2/chunk_01/case2/case2_episode_summary.csv
6,case2,8,19,8,6,True,False,27.199996948242188,3.4499995708465576,77026,1,/home/a2rl/reviewer_failure_cases_20260730/results/partial_failure_screen_nominal_n100/case2/chunk_01/case2/case2_episode_summary.csv
