update,environment_steps,mean_episode_return,all_hit_rate,all_sync_rate,hit_fraction,target_coverage_rate,complete_group_rate,coordinated_group_rate,mean_sync_spread_s,trust_mean,trust_std,guided_action_fraction,policy_loss,value_loss,entropy,approx_kl,actor_lr,wall_time_s
35,210000,144668.7536666717,0.0,0.0,0.32499999999999996,0.4375,0.1875,0.125,2.812499999999843,0.43114008809128856,0.16560448580897566,0.5647416666666667,-0.0058420208049938084,0.20154718607664107,2.442223238945007,0.011529784973263735,0.00027480470703923057,572.4033312797546
36,216000,166759.07649026392,0.0,0.0,0.375,0.4375,0.25,0.1875,2.3645833333332034,0.4315865574458925,0.16668804677593152,0.5678,-0.004960753888008184,0.2265884280204773,2.422975850105286,0.009103475947678064,0.00027144804065905466,606.9929115772247
37,222000,183286.7506086516,0.0,0.0,0.4125,0.46875,0.3125,0.21875,1.9541666666665691,0.4336902062721215,0.16889316624091308,0.5683916666666666,-0.006688542960910126,0.24877188354730606,2.4060855746269225,0.01709823673730405,0.0002679048811666714,639.0852274894714
38,228000,188725.19836774445,0.0,0.0,0.425,0.5,0.34375,0.25,1.8374999999999093,0.4362991685867607,0.1725016538979994,0.5658083333333334,-0.0059660283848643305,0.25507653281092646,2.3904359340667725,0.016827233404585494,0.0002641806918572047,671.1185421943665
39,234000,194041.27408518177,0.0,0.0,0.4375,0.5,0.34375,0.3125,1.4937499999999264,0.4404760748494498,0.17729579069431817,0.5637166666666666,0.0002588039933471009,0.2612676672637463,2.3744512796401978,0.010448284326267121,0.00026028121516063503,702.5686721801758
40,240000,150185.0650167393,0.0,0.0,0.3375,0.4375,0.1875,0.125,2.218749999999882,0.44070773075756514,0.1770800785181147,0.5587416666666667,-0.007048927305731922,0.2167999677360058,2.3602314233779906,0.012423402478086487,0.0002562124637873889,737.5009689331055
41,246000,205333.4159945352,0.0,0.0,0.46249999999999997,0.46875,0.4375,0.34375,1.3020833333332686,0.44497000644201934,0.1817169248978781,0.561475,-0.005747760744998232,0.281257601827383,2.3463091969490053,0.018472151544267932,0.00025198071145717487,766.7471196651459
42,252000,183306.88442360214,0.0,0.0,0.4125,0.5,0.3125,0.1875,3.329166666666491,0.44596566541391447,0.1819993534619066,0.5558833333333333,-0.006058592174667865,0.2684361971914768,2.3340757727622985,0.020219803071866417,0.00024759248322536254,797.3066432476044
43,258000,155313.0873625107,0.0,0.0,0.35000000000000003,0.375,0.28125,0.25,1.7499999999999025,0.444132466232976,0.17821192866113117,0.5523,-0.005604422226315364,0.2274952806532383,2.3237595319747926,0.010666375642155047,0.0002430545454218202,828.7697813510895
44,264000,139682.5250381506,0.0,0.0,0.3125,0.4375,0.15625,0.09375,2.643749999999852,0.4408529700379244,0.17350965726425027,0.5538083333333333,-0.007358213292900473,0.21060955971479417,2.3133944869041443,0.017955091585069916,0.00023837389521772477,860.428377866745
45,270000,183933.07717211405,0.0,0.0,0.4125,0.5,0.28125,0.15625,2.6229166666665242,0.4425255568385638,0.1749333190605524,0.558425,-0.004999697243329137,0.2677015416324139,2.3030372858047485,0.01986229804201676,0.00023355774983643056,891.6664566993713
46,276000,161817.16081986926,0.0,0.0,0.36249999999999993,0.46875,0.21875,0.125,4.470833333333091,0.4417033935944893,0.17348777265721216,0.5569083333333333,-0.0035182291059754787,0.24006185606122016,2.291096103191376,0.013560961464419919,0.00022861353542503438,924.5012636184692
47,282000,183854.0925078789,0.0,0.0,0.41250000000000003,0.5,0.28125,0.1875,2.7958333333331833,0.4445060872203408,0.17625282220553137,0.5594083333333333,-0.0060156928608194,0.2665106825530529,2.2793477058410643,0.020988490878380794,0.00022354887560379483,955.653064250946
48,288000,117376.30038741138,0.0,0.0,0.2625,0.375,0.09375,0.0,6.683333333332953,0.4400520968300655,0.16877054606025013,0.5545583333333334,-0.008042820898117498,0.18880775943398476,2.2686090230941773,0.02333789435843627,0.00021837157971106228,987.2595388889313
49,294000,172803.80100747466,0.0,0.0,0.38749999999999996,0.4375,0.28125,0.1875,2.204166666666547,0.4425080981059694,0.17035130066008602,0.5589166666666666,-0.004053769697202369,0.26009154990315436,2.2559916377067566,0.018083093458186685,0.00021308963076184555,1019.5898809432983
50,300000,139274.23295880007,0.0,0.0,0.3125,0.4375,0.15625,0.09375,1.7722222222221287,0.44260604377280793,0.1690863525947247,0.5568583333333333,-0.006432173011125997,0.22097297459840776,2.245341789722443,0.016406158124064076,0.00020771117313858096,1051.108746767044
51,306000,167183.37298766337,0.0,0.0,0.37500000000000006,0.46875,0.21875,0.15625,1.4374999999999285,0.44514974170729094,0.17119610508888786,0.5568166666666666,-0.0062894408009015025,0.25509102568030356,2.2355534076690673,0.016621947630035373,0.00020224450003308525,1081.237535238266
52,312000,156196.889115704,0.0,0.0,0.35,0.46875,0.1875,0.15625,2.8374999999998494,0.4467708705770259,0.17180482712427397,0.5554666666666667,-0.006436821492388845,0.2420070894062519,2.2278099775314333,0.014512387136742477,0.0001966980406590547,1106.4118876457214
