case,variant,variant_label,analysis_stratum,metric,N_episodes,mean,std,median,q1,q3,mean_ci95_low,mean_ci95_high
case1,no_attention_residual,w/o A-R,strict_all_8_groups_complete,E_t_s,81,35.45648148148149,0.2385941990918434,35.45625,35.43125,35.462500000000006,35.405169753086426,35.508179012345686
case1,no_attention_residual,w/o A-R,complete_group_conditioned_episode,E_co_time_s,100,0.013565641534391477,0.0025948129873037654,0.013293650793650715,0.011458333333333126,0.014583333333333504,0.013046292162698361,0.014074574239417943
case1,no_attention_residual,w/o A-R,complete_group_conditioned_episode,E_n_terminal_sample_g,100,0.3114393940039924,0.03729389212260683,0.3097767196555814,0.2801843523034485,0.34467450670298594,0.3042708478639081,0.3187881171097792
case1,no_attention_residual,w/o A-R,complete_group_conditioned_episode,E_miss_m,100,1.7099755066419238,0.1934066189659788,1.7001156892367641,1.5491584538204692,1.8245727952727555,1.6720054646604732,1.7480151744589363
case1,no_attention_residual,w/o A-R,complete_group_conditioned_episode,E_t_s,100,35.482309523809526,0.2892388764124286,35.462500000000006,35.431250000000006,35.75714285714285,35.42604866071429,35.53893921130953
case2,full,ART-MAPPO,strict_all_8_groups_complete,E_co_time_s,0,nan,nan,nan,nan,nan,nan,nan
case2,full,ART-MAPPO,strict_all_8_groups_complete,E_n_terminal_sample_g,0,nan,nan,nan,nan,nan,nan,nan
case2,full,ART-MAPPO,strict_all_8_groups_complete,E_miss_m,0,nan,nan,nan,nan,nan,nan,nan
case2,full,ART-MAPPO,strict_all_8_groups_complete,E_t_s,0,nan,nan,nan,nan,nan,nan,nan
case2,full,ART-MAPPO,complete_group_conditioned_episode,E_co_time_s,100,1.4058449074074073,2.0203392407092244,0.07638888888889067,0.029340277777778846,3.4238425925925933,1.034278240740741,1.820349768518518
case2,full,ART-MAPPO,complete_group_conditioned_episode,E_n_terminal_sample_g,100,0.40815138932438544,0.06855961967557427,0.40902487103521645,0.37163666620255514,0.445472244387772,0.3945637809494081,0.4216330882035964
case2,full,ART-MAPPO,complete_group_conditioned_episode,E_miss_m,100,2.4556149227166872,0.15495927664657871,2.4471921242122097,2.356829002056792,2.5819504403798983,2.425150285434893,2.4856476043187845
case2,full,ART-MAPPO,complete_group_conditioned_episode,E_t_s,100,64.91416666666667,4.360593443830707,66.83333333333334,60.39583333333334,69.4875,64.04420520833334,65.79380520833334
case2,no_trust,w/o Trust,strict_all_8_groups_complete,E_co_time_s,0,nan,nan,nan,nan,nan,nan,nan
case2,no_trust,w/o Trust,strict_all_8_groups_complete,E_n_terminal_sample_g,0,nan,nan,nan,nan,nan,nan,nan
case2,no_trust,w/o Trust,strict_all_8_groups_complete,E_miss_m,0,nan,nan,nan,nan,nan,nan,nan
case2,no_trust,w/o Trust,strict_all_8_groups_complete,E_t_s,0,nan,nan,nan,nan,nan,nan,nan
case2,no_trust,w/o Trust,complete_group_conditioned_episode,E_co_time_s,82,0.519078590785908,1.1006749889283975,0.10833333333333417,0.02685185185185368,0.27204861111111256,0.30087214882565494,0.7647459349593494
case2,no_trust,w/o Trust,complete_group_conditioned_episode,E_n_terminal_sample_g,82,0.37521063149151396,0.09206344626058828,0.3645558160772694,0.3168372175573075,0.40816683317834207,0.35641649040205564,0.39655289667892596
case2,no_trust,w/o Trust,complete_group_conditioned_episode,E_miss_m,82,2.323173548918827,0.2102073791115119,2.31884236354185,2.1786472211963064,2.465519404667023,2.278256497158668,2.3687183095433832
