update,environment_steps,mean_episode_return,all_hit_rate,all_sync_rate,hit_fraction,target_coverage_rate,complete_group_rate,coordinated_group_rate,mean_sync_spread_s,trust_mean,trust_std,guided_action_fraction,policy_loss,value_loss,entropy,approx_kl,importance_ratio,actor_grad_norm,critic_grad_norm,adaptive_kl_coef,actor_lr,wall_time_s
33,135168,309904.33332455903,0.0,0.0,0.7,0.84375,0.53125,0.53125,0.12500000000000178,0.4711843952782438,0.1837035642735882,0.5717851780836786,-0.007944646768737584,0.16000722348690033,2.8284366965293883,0.011081936536356807,1.009836381673813,4.592366325855255,0.27598674036562443,0.1687990582162009,0.0002656917297949804,674.4761188030243
34,139264,293420.4360104948,0.0,0.0,0.6625000000000001,0.71875,0.5625,0.5625,0.1256250000000018,0.47314784058323384,0.18585338787989927,0.566455416879976,-0.01066328475717455,0.15268133208155632,2.8237674951553347,0.01260839823371498,0.9775609850883484,5.364315462112427,0.4179406385868788,0.16089920922520456,0.0002636707608199375,700.344557762146
35,143360,276968.29336483777,0.0,0.0,0.625,0.75,0.4375,0.4375,0.11145833333333491,0.4722264253874068,0.18344385651758646,0.5533883900211184,-0.018278113583801315,0.1548768885433674,2.818677520751953,0.014302580172079615,0.9833249926567078,3.3503630459308624,0.2378175862133503,0.10389275052957012,0.00026160015140887043,719.681346654892
36,147456,287929.9956949949,0.0,0.0,0.6499999999999999,0.71875,0.53125,0.53125,0.11708333333333498,0.47301428097594406,0.1855833108095691,0.561667773389718,-0.009239465813152492,0.1587831310927868,2.8137815475463865,0.014114045696624089,1.4171786189079285,4.0403734803199765,0.24970071502029895,0.1222599223991778,0.000259480809799501,739.1592457294464
37,151552,298923.82910369337,0.0,0.0,0.6749999999999999,0.78125,0.53125,0.53125,0.1275000000000018,0.4742640148827134,0.18699045611205756,0.5650807182055517,-0.011404146475251764,0.16633305847644805,2.809153211116791,0.01509616825642297,1.0381849080324173,4.4605524182319645,0.4578666377812624,0.19735832883746474,0.0002573136656051041,758.7563092708588
38,155648,320841.35910161585,0.0,0.0,0.725,0.78125,0.65625,0.65625,0.10416666666666814,0.4793286327936121,0.19016342962826052,0.5710301261567446,-0.004186698980629444,0.16775509789586068,2.8048570275306703,0.013241177500458435,0.9767333120107651,6.063870084285736,0.5156057896092534,0.3185860844434725,0.00025509966940674814,778.3190932273865
39,159744,309863.8605683092,0.0,0.0,0.7,0.84375,0.53125,0.53125,0.1245833333333351,0.4817460813494782,0.19116402232785148,0.558733604703754,-0.004098099243128673,0.16458599641919136,2.8009955883026123,0.007557726655795705,1.0584734827280045,5.641396415233612,0.2827070977538824,0.18220569332130007,0.00025283979233633894,797.9823820590973
40,163840,331802.50077383965,0.0,0.0,0.75,0.84375,0.65625,0.65625,0.11083333333333491,0.48689872070337853,0.1934838459260015,0.5591895041539792,0.002888695278670639,0.16561247929930686,2.796826982498169,0.012435129049117677,1.1189133405685425,5.313422858715057,0.6094983145594597,0.2894640159877539,0.0002505350256506493,817.525111913681
41,167936,304410.61839206796,0.0,0.0,0.6875,0.8125,0.53125,0.53125,0.11270833333333494,0.48763113133868263,0.1937448355543334,0.5499793659052985,0.00010833441046997905,0.16549896970391273,2.7916582226753235,0.011837432099855504,0.9845728278160095,7.164581084251404,0.5206644326448441,0.34063828276395897,0.00024818638029652074,837.6562037467957
42,172032,298921.6216916917,0.0,0.0,0.6749999999999999,0.78125,0.53125,0.53125,0.12125000000000172,0.4883333446630337,0.19440990649147033,0.5477487097348283,-0.013455528323538602,0.16948933526873589,2.786970019340515,0.006676732935011387,1.2673133224248887,4.277206367254257,0.5787709407508373,0.12987852161675684,0.00024579488646742906,856.933351278305
43,176128,276972.75149997324,0.0,0.0,0.625,0.71875,0.46875,0.46875,0.13020833333333517,0.486046345164474,0.1945859170090733,0.5487909596757574,-0.014581017009913922,0.1616918858140707,2.782535696029663,0.010273461070028134,1.0181475549936294,4.55643892288208,0.38249884769320486,0.18570024896148207,0.00024336159315160733,876.7218613624573
44,180224,320837.02767086774,0.0,0.0,0.7250000000000001,0.8125,0.625,0.625,0.11625000000000166,0.4894748287647065,0.197826724764114,0.5587480380389622,0.004765567509457469,0.1664877813309431,2.7777681708335877,-0.023170961596770213,2.9534194499254225,4.71080157160759,0.47230459153652193,0.1290398664001648,0.000240887567671925,896.1359419822693
45,184320,337267.2851458136,0.0,0.0,0.7625000000000001,0.90625,0.625,0.625,0.11062500000000158,0.49363572186493165,0.19826790451753207,0.5494751203244022,0.01047021842096001,0.1672124844044447,2.7725200176239015,-0.007892740715760738,6823.017879217863,4.69183109998703,0.6113349929451942,0.18450114012827912,0.00023837389521772466,915.9690396785736
46,188416,265990.44075538963,0.0,0.0,0.6,0.78125,0.40625,0.40625,0.12291666666666841,0.4886676091796128,0.19301350615476834,0.5281268449017458,-0.008516458119265735,0.15030621662735938,2.7677737951278685,0.006466272540274076,1.0586398482322692,6.65933541059494,0.25618556775152684,0.14474603190734978,0.0002358216783688225,936.148579120636
47,192512,282428.6934877187,0.0,0.0,0.6375,0.75,0.46875,0.46875,0.11333333333333494,0.4860654446374598,0.188802192152943,0.5382248725261429,-0.016067157196812332,0.15523377433419228,2.7644556760787964,0.013027799414703622,1.3922808378934861,4.522332215309143,0.19535221680998802,0.14019394615588765,0.0002332320366118799,956.0315289497375
48,196608,282483.8581560906,0.0,0.0,0.6375,0.8125,0.4375,0.4375,0.11666666666666832,0.48435836921043024,0.18588997079770858,0.5386225990655823,0.008520512160612271,0.1584100339561701,2.761564385890961,9.993123239837587e-05,2929.837337595224,7.081732535362244,0.2007393829524517,0.18040431429282494,0.00023060610584935994,974.3665437698364
49,200704,298913.95229578763,0.0,0.0,0.675,0.78125,0.53125,0.53125,0.116458333333335,0.4853518891121656,0.1874827587613088,0.5504836759371221,0.0018508017295971514,0.1599229495972395,2.7579957962036135,0.00926613298652228,3942.3703105926515,5.902505314350128,0.3012474812567234,0.21229794527039678,0.00022794503790128293,993.424432516098
50,204800,309878.61231061816,0.0,0.0,0.7,0.84375,0.53125,0.53125,0.10416666666666814,0.4872392716511862,0.18819049394853876,0.5496261969842333,0.014566888194531202,0.16549554839730263,2.7532551169395445,0.014931114629143849,1.078345850110054,7.404712891578674,0.3904592640697956,0.9,0.00022524999999999995,1012.6276688575745
51,208896,304341.04313862324,0.0,0.0,0.6875,0.8125,0.53125,0.53125,0.116458333333335,0.4874417700449133,0.18665709049385792,0.5381475048792279,0.02022941366303712,0.16427134945988656,2.7486410975456237,-0.12262220292468555,58596.00753514469,5.4985818564891815,0.4455139931291342,0.10941898913151243,0.00022252217427820638,1032.3557796478271
52,212992,287834.3038877323,0.0,0.0,0.6499999999999999,0.6875,0.5625,0.5625,0.11437500000000163,0.48581078393978494,0.18524832747387557,0.5405725843010077,0.018497290485538543,0.16325486451387405,2.744785213470459,-0.095270789146889,166327.7893241793,8.515750312805176,0.3932892754673958,0.31381059609000017,0.0002197627572504193,1052.1559371948242
53,217088,282443.1166639924,0.0,0.0,0.6375,0.71875,0.5,0.5,0.11666666666666832,0.48450425137270836,0.18427619302222,0.5428912453078241,-0.004369349201442674,0.1681039161980152,2.7410497426986695,0.01221681644092314,361.5560870707035,4.486450827121734,0.2796165931969881,0.18236498188585404,0.0002169729592881466,1071.5106909275055
54,221184,304429.9012656696,0.0,0.0,0.6875,0.8125,0.53125,0.53125,0.10000000000000142,0.4863276872205822,0.18436765694972546,0.5473017808784232,-0.006061717917327769,0.1700555942952633,2.738956832885742,0.012437695912194614,0.9582887083292008,4.263631069660187,0.44508656561374665,0.12876314326096935,0.0002141540040889783,1091.5297470092773
